"","gender","race_ethnicity","parent_edulevel","lunch","test_preparation_course","subject","score"
"1","female","group B","bachelor's degree","standard","none","math",72
"2","female","group C","some college","standard","completed","math",69
"3","female","group B","master's degree","standard","none","math",90
"4","male","group A","associate's degree","free/reduced","none","math",47
"5","male","group C","some college","standard","none","math",76
"6","female","group B","associate's degree","standard","none","math",71
"7","female","group B","some college","standard","completed","math",88
"8","male","group B","some college","free/reduced","none","math",40
"9","male","group D","high school","free/reduced","completed","math",64
"10","female","group B","high school","free/reduced","none","math",38
"11","male","group C","associate's degree","standard","none","math",58
"12","male","group D","associate's degree","standard","none","math",40
"13","female","group B","high school","standard","none","math",65
"14","male","group A","some college","standard","completed","math",78
"15","female","group A","master's degree","standard","none","math",50
"16","female","group C","some high school","standard","none","math",69
"17","male","group C","high school","standard","none","math",88
"18","female","group B","some high school","free/reduced","none","math",18
"19","male","group C","master's degree","free/reduced","completed","math",46
"20","female","group C","associate's degree","free/reduced","none","math",54
"21","male","group D","high school","standard","none","math",66
"22","female","group B","some college","free/reduced","completed","math",65
"23","male","group D","some college","standard","none","math",44
"24","female","group C","some high school","standard","none","math",69
"25","male","group D","bachelor's degree","free/reduced","completed","math",74
"26","male","group A","master's degree","free/reduced","none","math",73
"27","male","group B","some college","standard","none","math",69
"28","female","group C","bachelor's degree","standard","none","math",67
"29","male","group C","high school","standard","none","math",70
"30","female","group D","master's degree","standard","none","math",62
"31","female","group D","some college","standard","none","math",69
"32","female","group B","some college","standard","none","math",63
"33","female","group E","master's degree","free/reduced","none","math",56
"34","male","group D","some college","standard","none","math",40
"35","male","group E","some college","standard","none","math",97
"36","male","group E","associate's degree","standard","completed","math",81
"37","female","group D","associate's degree","standard","none","math",74
"38","female","group D","some high school","free/reduced","none","math",50
"39","female","group D","associate's degree","free/reduced","completed","math",75
"40","male","group B","associate's degree","free/reduced","none","math",57
"41","male","group C","associate's degree","free/reduced","none","math",55
"42","female","group C","associate's degree","standard","none","math",58
"43","female","group B","associate's degree","standard","none","math",53
"44","male","group B","some college","free/reduced","completed","math",59
"45","female","group E","associate's degree","free/reduced","none","math",50
"46","male","group B","associate's degree","standard","none","math",65
"47","female","group A","associate's degree","standard","completed","math",55
"48","female","group C","high school","standard","none","math",66
"49","female","group D","associate's degree","free/reduced","completed","math",57
"50","male","group C","high school","standard","completed","math",82
"51","male","group E","some college","standard","none","math",53
"52","male","group E","associate's degree","free/reduced","completed","math",77
"53","male","group C","some college","standard","none","math",53
"54","male","group D","high school","standard","none","math",88
"55","female","group C","some high school","free/reduced","completed","math",71
"56","female","group C","high school","free/reduced","none","math",33
"57","female","group E","associate's degree","standard","completed","math",82
"58","male","group D","associate's degree","standard","none","math",52
"59","male","group D","some college","standard","completed","math",58
"60","female","group C","some high school","free/reduced","none","math",0
"61","male","group E","bachelor's degree","free/reduced","completed","math",79
"62","male","group A","some high school","free/reduced","none","math",39
"63","male","group A","associate's degree","free/reduced","none","math",62
"64","female","group C","associate's degree","standard","none","math",69
"65","female","group D","some high school","standard","none","math",59
"66","male","group B","some high school","standard","none","math",67
"67","male","group D","some high school","free/reduced","none","math",45
"68","female","group C","some college","standard","none","math",60
"69","male","group B","associate's degree","free/reduced","none","math",61
"70","female","group C","associate's degree","standard","none","math",39
"71","female","group D","some college","free/reduced","completed","math",58
"72","male","group D","some college","standard","completed","math",63
"73","female","group A","associate's degree","free/reduced","none","math",41
"74","male","group C","some high school","free/reduced","none","math",61
"75","male","group C","some high school","standard","none","math",49
"76","male","group B","associate's degree","free/reduced","none","math",44
"77","male","group E","some high school","standard","none","math",30
"78","male","group A","bachelor's degree","standard","completed","math",80
"79","female","group D","some high school","standard","completed","math",61
"80","female","group E","master's degree","standard","none","math",62
"81","female","group B","associate's degree","standard","none","math",47
"82","male","group B","high school","free/reduced","none","math",49
"83","male","group A","some college","free/reduced","completed","math",50
"84","male","group E","associate's degree","standard","none","math",72
"85","male","group D","high school","free/reduced","none","math",42
"86","female","group C","some college","standard","none","math",73
"87","female","group C","some college","free/reduced","none","math",76
"88","female","group D","associate's degree","standard","none","math",71
"89","female","group A","some college","standard","none","math",58
"90","female","group D","some high school","standard","none","math",73
"91","female","group C","bachelor's degree","standard","none","math",65
"92","male","group C","high school","free/reduced","none","math",27
"93","male","group C","high school","standard","none","math",71
"94","male","group C","associate's degree","free/reduced","completed","math",43
